NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise,Sunset,Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,11/30/2021,12:00:00,2459549.17,0.21914214,,249.7522199,8246.438024,0.016699416,-1.076566159,248.6756537,8245.361458,0.986172614,248.6657754,23.43644135,23.43767506,-113.059196,-21.74614878,0.043028427,11.19563481,72.4008274,12:57:09,8:07:33,17:46:45,579.2066192,662.8465548,-14.2883613,62.15837289,27.84162711,0.030424906,27.87205201,164.9745264,
,,,12/1/2021,12:00:00,2459550.17,0.21916952,,250.7378672,8247.423625,0.016699415,-1.048706233,249.689161,8246.374918,0.986011412,249.6792848,23.43644099,23.43767677,-111.9801856,-21.90054647,0.043028433,10.82019278,72.25011595,12:57:32,8:08:32,17:46:32,578.0009276,662.4711128,-14.3822218,62.32803007,27.67196993,0.030642384,27.70261231,164.916383,
,,,12/2/2021,12:00:00,2459551.17,0.21919690,,251.7235146,8248.409225,0.016699414,-1.020519235,250.7029954,8247.388706,0.985854441,250.6931213,23.43644064,23.43767849,-110.8985393,-22.04794333,0.04302844,10.43437714,72.10582263,12:57:55,8:09:29,17:46:20,576.846581,662.0852971,-14.47867571,62.49141838,27.50858162,0.030854121,27.53943574,164.8542665,
,,,12/3/2021,12:00:00,2459552.17,0.21922428,,252.709162,8249.394825,0.016699412,-0.992013768,251.7171482,8248.402811,0.985701754,251.7072763,23.43644028,23.4376802,-109.8143505,-22.18826409,0.043028446,10.03857262,71.96807484,12:58:19,8:10:26,17:46:11,575.7445987,661.6894926,-14.57762685,62.64845568,27.35154432,0.031059788,27.38260411,164.7882582,
,,,12/4/2021,12:00:00,2459553.17,0.21925165,,253.6948093,8250.380425,0.016699411,-0.963198548,252.7316108,8249.417227,0.985553398,252.721741,23.43643992,23.43768192,-108.7277172,-22.32143644,0.043028452,9.633179323,71.83699637,12:58:43,8:11:22,17:46:04,574.695971,661.2840993,-14.67897517,62.79906223,27.20093777,0.031259055,27.23219683,164.7184407,
,,,12/5/2021,12:00:00,2459554.17,0.21927903,,254.6804567,8251.366026,0.01669941,-0.934082405,253.7463743,8250.431943,0.985409422,253.7365067,23.43643957,23.43768363,-107.6387416,-22.44739104,0.043028459,9.218612218,71.71270701,12:59:08,8:12:17,17:45:59,573.7016561,660.8695322,-14.78261695,62.94316081,27.05683919,0.031451595,27.08829079,164.6448974,
,,,12/6/2021,12:00:00,2459555.17,0.21930641,,255.6661041,8252.351626,0.016699409,-0.904674277,254.7614298,8251.446952,0.985269872,254.7515643,23.43643921,23.43768534,-106.5475296,-22.56606173,0.043028465,8.795300513,71.59532218,12:59:33,8:13:10,17:45:56,572.7625774,660.4462205,-14.88844487,63.08067675,26.91932325,0.031637085,26.95096033,164.5677129,
,,,12/7/2021,12:00:00,2459556.17,0.21933379,,256.6517514,8253.337226,0.016699408,-0.874983208,255.7767682,8252.462243,0.985134793,255.7669049,23.43643886,23.43768705,-105.4541913,-22.67738554,0.043028472,8.363687049,71.48495261,12:59:59,8:14:03,17:45:56,571.8796208,660.014607,-14.99634824,63.21153806,26.78846194,0.031815206,26.82027715,164.4869725,
,,,12/8/2021,12:00:00,2459557.17,0.21936117,,257.6373988,8254.322826,0.016699407,-0.845018344,256.7923804,8253.477808,0.985004228,256.7825193,23.4364385,23.43768876,-104.3588402,-22.78130286,0.043028478,7.924227644,71.38170396,13:00:25,8:14:54,17:45:57,571.0536317,659.5751476,-15.10621309,63.33567542,26.66432458,0.031985644,26.69631022,164.4027625,
,,,12/9/2021,12:00:00,2459558.17,0.21938855,,258.6230461,8255.308427,0.016699405,-0.814788932,257.8082572,8254.493638,0.984878221,257.7983982,23.43643814,23.43769047,-103.2615934,-22.87775749,0.043028485,7.477390401,71.28567651,13:00:52,8:15:44,17:46:01,570.2854121,659.1283104,-15.2179224,63.45302234,26.54697766,0.032148092,26.57912575,164.3151698,
,,,12/10/2021,12:00:00,2459559.17,0.21941593,,259.6086935,8256.294027,0.016699404,-0.784304314,258.8243892,8255.509723,0.984756812,258.8145324,23.43643779,23.43769217,-102.1625716,-22.96669677,0.043028491,7.023654991,71.19696483,13:01:20,8:16:32,17:46:07,569.5757186,658.674575,-15.33135625,63.56351515,26.43648485,0.032302251,26.4687871,164.2242824,
,,,12/11/2021,12:00:00,2459560.17,0.21944330,,260.5943409,8257.279627,0.016699403,-0.753573926,259.840767,8256.526053,0.98464004,259.8309123,23.43643743,23.43769388,-101.0618984,-23.04807162,0.043028498,6.563511906,71.11565745,13:01:47,8:17:19,17:46:15,568.9252596,658.2144319,-15.44639202,63.6670931,26.3329069,0.032447833,26.36535473,164.1301887,
,,,12/12/2021,12:00:00,2459561.17,0.21947068,,261.5799882,8258.265228,0.016699402,-0.722607294,260.8573809,8257.54262,0.984527943,260.8475284,23.43643708,23.43769558,-99.95970036,-23.12183668,0.043028504,6.097461684,71.04183658,13:02:15,8:18:05,17:46:25,568.3346926,657.7483817,-15.56290458,63.76369844,26.23630156,0.032584559,26.26888612,164.0329777,
,,,12/13/2021,12:00:00,2459562.17,0.21949806,,262.5656356,8259.250828,0.016699401,-0.691414031,261.8742216,8258.559414,0.984420557,261.8643712,23.43643672,23.43769729,-98.85610686,-23.18795034,0.04302851,5.626014106,70.97557782,13:02:43,8:18:49,17:46:38,567.8046226,657.2769341,-15.68076647,63.85327642,26.14672358,0.032712162,26.17943574,163.9327394,
,,,12/14/2021,12:00:00,2459563.17,0.21952544,,263.551283,8260.236428,0.0166994,-0.660003832,262.8912791,8259.576424,0.984317917,262.881431,23.43643636,23.43769899,-97.75124976,-23.24637483,0.043028517,5.149687379,70.91694992,13:03:12,8:19:32,17:46:52,567.3355994,656.8006074,-15.79984816,63.9357754,26.0642246,0.032830389,26.09705499,163.8295639,
,,,12/15/2021,12:00:00,2459564.17,0.21955282,,264.5369303,8261.222028,0.016699399,-0.628386471,263.9085439,8260.593642,0.984220056,263.8986979,23.43643601,23.43770069,-96.64526318,-23.2970763,0.043028523,4.669007283,70.86601449,13:03:41,8:20:13,17:47:09,566.9281159,656.3199273,-15.92001818,64.01114688,25.98885312,0.032939,26.02179212,163.723542,
,,,12/16/2021,12:00:00,2459565.17,0.21958020,,265.5225777,8262.207629,0.016699397,-0.596571801,264.9260059,8261.611057,0.984127007,264.9161621,23.43643565,23.43770239,-95.53828327,-23.34002483,0.04302853,4.184506317,70.82282585,13:04:10,8:20:52,17:47:27,566.5826068,655.8354263,-16.04114342,64.07934552,25.92065448,0.033037771,25.95369225,163.6147649,
,,,12/17/2021,12:00:00,2459566.17,0.21960757,,266.5082251,8263.193229,0.016699396,-0.564569746,265.9436553,8262.628659,0.9840388,265.9338137,23.4364353,23.43770409,-94.43044797,-23.37519455,0.043028536,3.696722809,70.78743077,13:04:39,8:21:30,17:47:48,566.2994462,655.3476428,-16.1630893,64.14032925,25.85967075,0.033126497,25.89279724,163.5033243,
,,,12/18/2021,12:00:00,2459567.17,0.21963495,,267.4938724,8264.178829,0.016699395,-0.532390299,266.9614821,8263.646439,0.983955463,266.9516427,23.43643494,23.43770579,-93.32189671,-23.40256364,0.043028543,3.206200025,70.75986836,13:05:09,8:22:06,17:48:11,566.0789469,654.85712,-16.28571999,64.19405924,25.80594076,0.033204986,25.83914574,163.3893122,
,,,12/19/2021,12:00:00,2459568.17,0.21966233,,268.4795198,8265.16443,0.016699394,-0.500043518,267.9794763,8264.664386,0.983877023,267.969639,23.43643458,23.43770749,-92.2127702,-23.4221144,0.043028549,2.713485264,70.74016987,13:05:38,8:22:40,17:48:36,565.921359,654.3644053,-16.40889868,64.24049998,25.75950002,0.033273068,25.79277309,163.2728206,
,,,12/20/2021,12:00:00,2459569.17,0.21968971,,269.4651672,8266.15003,0.016699393,-0.467539524,268.9976276,8265.68249,0.983803506,268.9877926,23.43643423,23.43770918,-91.10321011,-23.43383324,0.043028555,2.219128935,70.72835862,13:06:08,8:23:13,17:49:03,565.826869,653.8700489,-16.53248777,64.27961929,25.72038071,0.033330591,25.7537113,163.1539423,
,,,12/21/2021,12:00:00,2459570.17,0.21971709,,270.4508145,8267.13563,0.016699392,-0.434888496,270.015926,8266.700742,0.983734936,270.0060932,23.43643387,23.43771088,-89.99335886,-23.43771074,0.043028562,1.723683632,70.7244499,13:06:38,8:23:44,17:49:31,565.7955992,653.3746036,-16.65634909,64.31138836,25.68861164,0.033377424,25.72198907,163.0327698,
,,,12/22/2021,12:00:00,2459571.17,0.21974447,,271.4364619,8268.12123,0.01669939,-0.402100667,271.0343612,8267.71913,0.983671335,271.0245306,23.43643351,23.43771257,-88.88335927,-23.43374168,0.043028568,1.227703207,70.72845091,13:07:07,8:24:12,17:50:02,565.8276073,652.8786232,-16.7803442,64.33578177,25.66421823,0.033413456,25.69763168,162.9093961,
,,,12/23/2021,12:00:00,2459572.17,0.21977185,,272.4221092,8269.106831,0.016699389,-0.36918632,272.0529229,8268.737644,0.983612724,272.0430945,23.43643316,23.43771427,-87.77335433,-23.421925,0.043028575,0.731741834,70.74036073,13:07:37,8:24:39,17:50:35,565.9228859,652.3826618,-16.90433454,64.35277753,25.64722247,0.033438597,25.68066107,162.783914,
,,,12/24/2021,12:00:00,2459573.17,0.21979922,,273.4077566,8270.092431,0.016699388,-0.336155788,273.0716008,8269.756275,0.983559121,273.0617746,23.4364328,23.43771596,-86.66348693,-23.40226387,0.043028581,0.236353074,70.76017033,13:08:07,8:25:04,17:51:09,566.0813627,651.8872731,-17.02818173,64.36235704,25.63764296,0.033452782,25.67109574,162.6564165,
,,,12/25/2021,12:00:00,2459574.17,0.21982660,,274.393404,8271.078031,0.016699387,-0.303019444,274.0903845,8270.775012,0.983510546,274.0805605,23.43643245,23.43771765,-85.55389954,-23.37476563,0.043028587,-0.257911055,70.7878626,13:08:36,8:25:27,17:51:46,566.3029008,651.3930089,-17.15174776,64.36450517,25.63549483,0.033455964,25.6689508,162.5269965,
,,,12/26/2021,12:00:00,2459575.17,0.21985398,,275.3790513,8272.063632,0.016699386,-0.269787701,275.1092636,8271.793844,0.983467013,275.0994419,23.43643209,23.43771934,-84.44473397,-23.33944178,0.043028594,-0.750501009,70.82341241,13:09:06,8:25:48,17:52:24,566.5872993,650.900419,-17.27489525,64.35921021,25.64078979,0.033448121,25.67423791,162.3957471,
,,,12/27/2021,12:00:00,2459576.17,0.21988136,,276.3646987,8273.049232,0.016699385,-0.236471007,276.1282277,8272.812761,0.983428536,276.1184082,23.43643173,23.43772103,-83.33613109,-23.29630803,0.0430286,-1.240870635,70.8667867,13:09:35,8:26:07,17:53:03,566.9342936,650.4100494,-17.39748766,64.34646393,25.65353607,0.033429254,25.68696532,162.2627608,
,,,12/28/2021,12:00:00,2459577.17,0.21990874,,277.3503461,8274.034832,0.016699384,-0.203079845,277.1472662,8273.831752,0.983395129,277.1374489,23.43643138,23.43772272,-82.22823055,-23.24538418,0.043028607,-1.728478083,70.91794461,13:10:05,8:26:24,17:53:45,567.3435569,649.9224419,-17.51938952,64.32626154,25.67373846,0.033399386,25.70713785,162.1281302,
,,,12/29/2021,12:00:00,2459578.17,0.21993612,,278.3359934,8275.020432,0.016699382,-0.169624721,278.1663687,8274.850808,0.983366802,278.1565536,23.43643102,23.4377244,-81.12117052,-23.18669416,0.043028613,-2.212786711,70.9768376,13:10:34,8:26:39,17:54:28,567.8147008,649.4381333,-17.64046668,64.29860167,25.70139833,0.033358562,25.73475689,161.9919477,
,,,12/30/2021,12:00:00,2459579.17,0.21996350,,279.3216408,8276.006033,0.016699381,-0.136116168,279.1855246,8275.869916,0.983343564,279.1757118,23.43643067,23.43772609,-80.01508744,-23.12026595,0.043028619,-2.693265964,71.04340967,13:11:03,8:26:52,17:55:13,568.3472773,648.957654,-17.76058649,64.26348643,25.73651357,0.033306849,25.76982042,161.8543052,
,,,12/31/2021,12:00:00,2459580.17,0.21999087,,280.3072882,8276.991633,0.01669938,-0.102564737,280.2047234,8276.889068,0.983325422,280.1949128,23.43643031,23.43772777,-78.91011574,-23.04613154,0.043028626,-3.169392251,71.11759749,13:11:31,8:27:03,17:55:59,568.94078,648.4815277,-17.87961806,64.22092133,25.77907867,0.033244338,25.812323,161.7152944,
,,,1/1/2022,12:00:00,2459581.17,0.22001825,,281.2929355,8277.977233,0.016699379,-0.068980997,281.2239545,8277.908252,0.983312384,281.2141462,23.43642995,23.43772945,-77.80638764,-22.9643269,0.043028632,-3.640649791,71.19933071,13:11:59,8:27:12,17:56:47,569.5946457,648.0102702,-17.99743245,64.17091531,25.82908469,0.033171141,25.86225583,161.5750062,
